,Nome de Pregão,Razão Social,CNPJ,Código
0,ADVANCED-DH,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,10.345.009/0001-98,"ADHM1, ADHM3"
1,AES TIETE E,AES TIETE ENERGIA SA,04.128.563/0001-10,"TIET11, TIET3, TIET4"
2,AFLUENTE T,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,10.338.320/0001-00,AFLT3
3,ALEF S/A,ALEF S.A.,02.217.319/0001-07,ALEF3B
4,ALFA HOLDING,ALFA HOLDINGS S.A.,17.167.396/0001-69,"RPAD3, RPAD5, RPAD6"
5,ALGAR TELEC,ALGAR TELECOM S/A,71.208.516/0001-74,#N/D
6,ALIANSCSONAE,ALIANSCE SONAE SHOPPING CENTERS S.A.,05.878.397/0001-32,ALSO3
7,ESTAPAR,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,60.537.263/0001-66,ALPK3
8,ALPARGATAS,ALPARGATAS S.A.,61.079.117/0001-05,"ALPA3, ALPA4"
9,ALPER S.A.,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,11.721.921/0001-60,APER3
10,ALTERE SEC,ALTERE SECURITIZADORA S.A.,02.783.423/0001-50,#N/D
11,ALUPAR,ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,"ALUP11, ALUP3, ALUP4"
12,AMBEV S/A,AMBEV S.A.,07.526.557/0001-00,ABEV3
13,AMPLA ENERG,AMPLA ENERGIA E SERVICOS S.A.,33.050.071/0001-58,CBEE3
14,ANIMA,ANIMA HOLDING S.A.,09.288.252/0001-32,ANIM3
15,AREZZO CO,AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76,ARZZ3
16,CARREFOUR BR,ATACADÃO S.A.,75.315.333/0001-09,CRFB3
17,ATMASA,ATMA PARTICIPAÇÕES S.A.,04.032.433/0001-80,#N/D
18,ATOMPAR,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,00.359.742/0001-08,ATOM3
19,AZEVEDO,AZEVEDO E TRAVASSOS S.A.,61.351.532/0001-68,"AZEV3, AZEV4"
20,AZUL,AZUL S.A.,09.305.994/0001-29,AZUL4
21,B2W DIGITAL,B2W – COMPANHIA DIGITAL,00.776.574/0001-56,BTOW3
22,B3,B3 S.A. – BRASIL. BOLSA. BALCÃO,09.346.601/0001-25,B3SA3
23,BAHEMA,BAHEMA EDUCAÇÃO S.A.,45.987.245/0001-92,BAHI3
24,BANCO BMG,BANCO BMG S.A.,61.186.680/0001-74,BMGB4
25,BANCO INTER,BANCO INTER S.A.,00.416.968/0001-01,"BIDI3, BIDI11, BIDI4"
26,BANESTES,BANESTES S.A. – BCO EST ESPIRITO SANTO,28.127.603/0001-78,"BEES3, BEES4"
27,BARDELLA,BARDELLA S.A. INDUSTRIAS MECANICAS,60.851.615/0001-53,"BDLL4, BDLL3"
28,BATTISTELLA,BATTISTELLA ADM PARTICIPACOES S.A.,42.331.462/0001-31,BTTL3
29,BAUMER,BAUMER S.A.,61.374.161/0001-30,"BALM4, BALM3"
30,BBSEGURIDADE,BB SEGURIDADE PARTICIPAÇÕES S.A.,17.344.597/0001-94,BBSE3
31,BBMLOGISTICA,BBM LOGISTICA S.A.,01.107.327/0001-20,BBML3
32,ABC BRASIL,BCO ABC BRASIL S.A.,28.195.667/0001-06,ABCB4
33,ALFA INVEST,BCO ALFA DE INVESTIMENTO S.A.,60.770.336/0001-65,"BRIV3, BRIV4"
34,AMAZONIA,BCO AMAZONIA S.A.,04.902.979/0001-44,BAZA3
35,BRADESCO,BCO BRADESCO S.A.,60.746.948/0001-12,"BBDC4, BBDC3"
36,BRASIL,BCO BRASIL S.A.,00.000.000/0001-91,"BBAS11, BBAS12, BBAS3"
37,BTGP BANCO,BCO BTG PACTUAL S.A.,30.306.294/0001-45,"BPAC11, BPAC3, BPAC5"
38,BANESE,BCO ESTADO DE SERGIPE S.A. – BANESE,13.009.717/0001-46,"BGIP3, BGIP4"
39,BANPARA,BCO ESTADO DO PARA S.A.,04.913.711/0001-08,BPAR3
40,BANRISUL,BCO ESTADO DO RIO GRANDE DO SUL S.A.,92.702.067/0001-96,"BRSR6, BRSR5, BRSR3"
41,INDUSVAL,BCO INDUSVAL S.A.,61.024.352/0001-71,"IDVL3, IDVL4"
42,MERC INVEST,BCO MERCANTIL DE INVESTIMENTOS S.A.,34.169.557/0001-72,"BMIN3, BMIN4"
43,MERC BRASIL,BCO MERCANTIL DO BRASIL S.A.,17.184.037/0001-10,"BMEB3, BMEB4"
44,NORD BRASIL,BCO NORDESTE DO BRASIL S.A.,07.237.373/0001-20,BNBR3
45,BANCO PAN,BCO PAN S.A.,59.285.411/0001-13,BPAN4
46,PINE,BCO PINE S.A.,62.144.175/0001-20,"PINE3, PINE4"
47,SANTANDER BR,BCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,"SANB4, SANB3, SANB11"
48,BETA SECURIT,BETA SECURITIZADORA S.A.,07.021.459/0001-10,#N/D
49,BETAPART,BETAPART PARTICIPACOES S.A.,02.762.124/0001-30,BETP3B
50,BIC MONARK,BICICLETAS MONARK S.A.,56.992.423/0001-90,BMKS3
51,BIOMM,BIOMM S.A.,04.752.991/0001-10,BIOM3
52,BIOSEV,BIOSEV S.A.,15.527.906/0001-36,BSEV3
53,BIOTOSCANA,BIOTOSCANA INVESTMENTS S.A.,19.688.956/0001-56,GBIO33
54,BK BRASIL,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,13.574.594/0001-96,BKBR3
55,BNDESPAR,BNDES PARTICIPACOES S.A. – BNDESPAR,00.383.281/0001-09,#N/D
56,BOMBRIL,BOMBRIL S.A.,50.564.053/0001-03,"BOBR3, BOBR4"
57,BR MALLS PAR,BR MALLS PARTICIPACOES S.A.,06.977.745/0001-91,BRML3
58,BR PROPERT,BR PROPERTIES S.A.,06.977.751/0001-49,BRPR3
59,BRADESCO LSG,BRADESCO LEASING S.A. ARREND MERCANTIL,47.509.120/0001-82,#N/D
60,BRADESPAR,BRADESPAR S.A.,03.847.461/0001-92,"BRAP4, BRAP3"
61,BR BROKERS,BRASIL BROKERS PARTICIPACOES S.A.,08.613.550/0001-98,BBRK3
62,BRASILAGRO,BRASILAGRO – CIA BRAS DE PROP AGRICOLAS,07.628.528/0001-59,AGRO3
63,BRASKEM,BRASKEM S.A.,42.150.391/0001-70,"BRKM6, BRKM5, BRKM3"
64,BRAZIL REALT,BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS,07.119.838/0001-48,#N/D
65,BRAZILIAN FR,BRAZILIAN FINANCE E REAL ESTATE S.A.,02.762.113/0001-50,#N/D
66,BRAZILIAN SC,BRAZILIAN SECURITIES CIA SECURITIZACAO,03.767.538/0001-14,#N/D
67,BRB BANCO,BRB BCO DE BRASILIA S.A.,00.000.208/0001-00,"BSLI4, BSLI3"
68,BRC SECURIT,BRC SECURITIZADORA S.A.,08.653.753/0001-08,#N/D
69,BRF SA,BRF S.A.,01.838.723/0001-27,BRFS3
70,BRPR 56 SEC,BRPR 56 SECURITIZADORA CRED IMOB S.A.,06.137.677/0001-52,#N/D
71,BRQ,BRQ SOLUCOES EM INFORMATICA S.A.,36.542.025/0001-64,BRQB3
72,BV LEASING,BV LEASING – ARRENDAMENTO MERCANTIL S.A.,01.858.774/0001-10,#N/D
73,CABINDA PART,CABINDA PARTICIPACOES S.A.,04.030.182/0001-02,CABI3B
74,CACHOEIRA,CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.,05.336.882/0001-84,#N/D
75,CACONDE PART,CACONDE PARTICIPACOES S.A.,04.031.213/0001-31,CACO3B
76,CAMBUCI,CAMBUCI S.A.,61.088.894/0001-08,CAMB3
77,CAMIL,CAMIL ALIMENTOS S.A.,64.904.295/0001-03,CAML3
78,CAPITALPART,CAPITALPART PARTICIPACOES S.A.,02.591.787/0001-39,#N/D
79,CCR SA,CCR S.A.,02.846.056/0001-97,CCRO3
80,CEA MODAS,CEA MODAS S.A.,45.242.914/0001-05,CEAB3
81,CEMEPE,CEMEPE INVESTIMENTOS S.A.,93.828.986/0001-73,"MAPT4, MAPT3"
82,CEMIG DIST,CEMIG DISTRIBUICAO S.A.,06.981.180/0001-16,#N/D
83,CEMIG GT,CEMIG GERACAO E TRANSMISSAO S.A.,06.981.176/0001-58,#N/D
84,ELETROBRAS,CENTRAIS ELET BRAS S.A. – ELETROBRAS,00.001.180/0001-26,"ELET3, ELET5, ELET6"
85,CELESC,CENTRAIS ELET DE SANTA CATARINA S.A.,83.878.892/0001-55,"CLSC4, CLSC3"
86,ALLIAR,CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,AALR3
87,CESP,CESP – CIA ENERGETICA DE SAO PAULO,60.933.603/0001-78,"CESP6, CESP5, CESP3"
88,P.ACUCAR-CBD,CIA BRASILEIRA DE DISTRIBUICAO,47.508.411/0001-56,PCAR3
89,CASAN,CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,82.508.433/0001-17,"CASN4, CASN3"
90,CELGPAR,CIA CELG DE PARTICIPACOES – CELGPAR,08.560.444/0001-93,GPAR3
91,CEG,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,33.938.119/0001-69,CEGR3
92,COELBA,CIA ELETRICIDADE EST. DA BAHIA – COELBA,15.139.629/0001-94,"CEEB3, CEEB5, CEEB6"
93,CEB,CIA ENERGETICA DE BRASILIA,00.070.698/0001-11,"CEBR6, CEBR5, CEBR3"
94,CEMIG,CIA ENERGETICA DE MINAS GERAIS – CEMIG,17.155.730/0001-64,"CMIG4, CMIG3"
95,CELPE,CIA ENERGETICA DE PERNAMBUCO – CELPE,10.835.932/0001-08,"CEPE5, CEPE3"
96,COELCE,CIA ENERGETICA DO CEARA – COELCE,07.047.251/0001-70,"COCE6, COCE5, COCE3"
97,COSERN,CIA ENERGETICA DO RIO GDE NORTE – COSERN,08.324.196/0001-81,"CSRN3, CSRN5, CSRN6"
98,CEEE-D,CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,08.467.115/0001-00,"CEED4, CEED3"
99,CEEE-GT,CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,92.715.812/0001-31,"EEEL4, EEEL3"
100,FERBASA,CIA FERRO LIGAS DA BAHIA – FERBASA,15.141.799/0001-03,"FESA4, FESA3"
101,CEDRO,CIA FIACAO TECIDOS CEDRO CACHOEIRA,17.245.234/0001-00,"CEDO4, CEDO3"
102,COMGAS,CIA GAS DE SAO PAULO – COMGAS,61.856.571/0001-17,"CGAS3, CGAS5"
103,HABITASUL,CIA HABITASUL DE PARTICIPACOES,87.762.563/0001-03,"HBTS3, HBTS5, HBTS6"
104,CIA HERING,CIA HERING,78.876.950/0001-71,HGTX3
105,IND CATAGUAS,CIA INDUSTRIAL CATAGUASES,19.526.748/0001-50,"CATA3, CATA4"
106,LOCAMERICA,CIA LOCAÇÃO DAS AMÉRICAS,10.215.988/0001-60,LCAM3
107,MELHOR SP,CIA MELHORAMENTOS DE SAO PAULO,60.730.348/0001-66,"MSPA3, MSPA4"
108,COPEL,CIA PARANAENSE DE ENERGIA – COPEL,76.483.817/0001-20,"CPLE6, CPLE5, CPLE3"
109,PAR AL BAHIA,CIA PARTICIPACOES ALIANCA DA BAHIA,01.938.783/0001-11,"PEAB3, PEAB4"
110,PAUL F LUZ,CIA PAULISTA DE FORCA E LUZ,33.050.196/0001-88,#N/D
111,CPFL PIRATIN,CIA PIRATININGA DE FORCA E LUZ,04.172.213/0001-51,#N/D
112,SABESP,CIA SANEAMENTO BASICO EST SAO PAULO,43.776.517/0001-80,SBSP3
113,COPASA,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,17.281.106/0001-03,CSMG3
114,SANEPAR,CIA SANEAMENTO DO PARANA – SANEPAR,76.484.013/0001-45,"SAPR4, SAPR3, SAPR11"
115,SEG AL BAHIA,CIA SEGUROS ALIANCA DA BAHIA,15.144.017/0001-90,"CSAB3, CSAB4"
116,SID NACIONAL,CIA SIDERURGICA NACIONAL,33.042.730/0001-04,CSNA3
117,COTEMINAS,CIA TECIDOS NORTE DE MINAS COTEMINAS,22.677.520/0001-76,"CTNM4, CTNM3"
118,SANTANENSE,CIA TECIDOS SANTANENSE,21.255.567/0001-89,"CTSA3, CTSA4, CTSA8"
119,CIBRASEC,CIBRASEC – COMPANHIA BRASILEIRA DE SECURITIZACAO,02.105.040/0001-23,#N/D
120,CIELO,CIELO S.A.,01.027.058/0001-91,CIEL3
121,CIMS,CIMS S.A.,00.272.185/0001-93,"CMSA3, CMSA4"
122,CINESYSTEM,CINESYSTEM S.A.,07.437.016/0001-05,CNSY3
123,COGNA ON,COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,COGN3
124,CONC RAPOSO,CONC AUTO RAPOSO TAVARES S.A.,10.531.501/0001-58,#N/D
125,GRUAIRPORT,CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.,15.578.569/0001-06,#N/D
126,ECOVIAS,CONC ECOVIAS IMIGRANTES S.A.,02.509.491/0001-26,#N/D
127,CONC RIO TER,CONC RIO-TERESOPOLIS S.A.,00.938.574/0001-05,"CRTE3B, CRTE5B"
128,ECOPISTAS,CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,10.841.050/0001-55,#N/D
129,VIAOESTE,CONC ROD.OESTE SP VIAOESTE S.A,02.415.408/0001-50,#N/D
130,ROD TIETE,CONC RODOVIAS DO TIETÊ S.A.,10.678.505/0001-63,#N/D
131,RT BANDEIRAS,CONC ROTA DAS BANDEIRAS S.A.,10.647.979/0001-48,#N/D
132,AUTOBAN,CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN,02.451.848/0001-62,#N/D
133,ODERICH,CONSERVAS ODERICH S.A.,97.191.902/0001-94,"ODER3, ODER4"
134,ALFA CONSORC,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17.193.806/0001-46,"BRGE11, BRGE12, BRGE3, BRGE5, BRGE6, BRGE7, BRGE8"
135,CONST A LIND,CONSTRUTORA ADOLPHO LINDENBERG S.A.,61.022.042/0001-18,"CALI3, CALI4"
136,TENDA,CONSTRUTORA TENDA S.A.,71.476.527/0001-35,TEND3
137,COR RIBEIRO,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,15.101.405/0001-93,"CORR3, CORR4"
138,COSAN LOG,COSAN LOGISTICA S.A.,17.346.997/0001-39,RLOG3
139,COSAN,COSAN S.A.,50.746.577/0001-15,CSAN3
140,CPFL ENERGIA,CPFL ENERGIA S.A.,02.429.144/0001-93,CPFE3
141,CPFL RENOVAV,CPFL ENERGIAS RENOVÁVEIS S.A.,08.439.659/0001-50,CPRE3
142,CPFL GERACAO,CPFL GERACAO DE ENERGIA S.A.,03.953.509/0001-47,#N/D
143,CR2,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,07.820.907/0001-46,CRDE3
144,CSU CARDSYST,CSU CARDSYSTEM S.A.,01.896.779/0001-38,CARD3
145,CTC S.A.,CTC – CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,06.981.381/0001-13,#N/D
146,TRAN PAULIST,CTEEP – CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02.998.611/0001-04,"TRPL3, TRPL4"
147,CVC BRASIL,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10.760.260/0001-19,CVCB3
148,CYRELA REALT,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73.178.600/0001-18,CYRE3
149,CYRE COM-CCP,CYRELA COMMERCIAL PROPERT S.A. EMPR PART,08.801.621/0001-86,CCPR3
150,DASA,DIAGNOSTICOS DA AMERICA S.A.,61.486.650/0001-83,DASA3
151,DIBENS LSG,DIBENS LEASING S.A. – ARREND.MERCANTIL,65.654.303/0001-73,#N/D
152,DIMED,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92.665.611/0001-77,"PNVL4, PNVL3"
153,DIRECIONAL,DIRECIONAL ENGENHARIA S.A.,16.614.075/0001-00,DIRR3
154,DOHLER,DOHLER S.A.,84.683.408/0001-03,"DOHL3, DOHL4"
155,DOMMO,DOMMO ENERGIA S.A.,08.926.302/0001-05,"DMMO11, DMMO3"
156,DTCOM-DIRECT,DTCOM – DIRECT TO COMPANY S.A.,03.303.999/0001-36,"DTCY3, DTCY4"
157,DURATEX,DURATEX S.A.,97.837.181/0001-47,DTEX3
158,ECO SEC AGRO,ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,10.753.164/0001-43,#N/D
159,ECON,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,08.873.873/0001-10,#N/D
160,ECORODOVIAS,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04.149.454/0001-80,ECOR3
161,ENERGIAS BR,EDP – ENERGIAS DO BRASIL S.A.,03.983.431/0001-03,ENBR3
162,ESCELSA,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,28.152.650/0001-71,#N/D
163,EBE,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,02.302.100/0001-06,#N/D
164,ACO ALTONA,ELECTRO ACO ALTONA S.A.,82.643.537/0001-34,"EALT3, EALT4"
165,ELEKEIROZ,ELEKEIROZ S.A.,13.788.120/0001-47,"ELEK3, ELEK4"
166,ELEKTRO,ELEKTRO REDES S.A.,02.328.280/0001-97,"EKTR3, EKTR4"
167,ELETROPAR,ELETROBRÁS PARTICIPAÇÕES S.A. – ELETROPAR,01.104.937/0001-70,LIPR3
168,ELETROPAULO,ELETROPAULO METROP. ELET. SAO PAULO S.A.,61.695.227/0001-93,#N/D
169,EMAE,EMAE – EMPRESA METROP.AGUAS ENERGIA S.A.,02.302.101/0001-42,"EMAE3, EMAE4"
170,EMBRAER,EMBRAER S.A.,07.689.002/0001-89,EMBR3
171,ECONORTE,EMPRESA CONC RODOV DO NORTE S.A.ECONORTE,02.222.736/0001-30,#N/D
172,ENCORPAR,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,01.971.614/0001-83,"ECPR3, ECPR4"
173,ENAUTA PART,ENAUTA PARTICIPAÇÕES S.A.,11.669.021/0001-10,ENAT3
174,ENERSUL,ENERGISA MATO GROSSO DO SUL – DIST DE ENERGIA S.A.,15.413.826/0001-50,#N/D
175,ENERGISA MT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03.467.321/0001-99,"ENMT3, ENMT4"
176,ENERGISA,ENERGISA S.A.,00.864.214/0001-06,"ENGI11, ENGI3, ENGI4"
177,ENEVA,ENEVA S.A,04.423.567/0001-21,ENEV3
178,ENGIE BRASIL,ENGIE BRASIL ENERGIA S.A.,02.474.103/0001-19,EGIE3
179,EQUATORIAL,EQUATORIAL ENERGIA S.A.,03.220.438/0001-73,EQTL3
180,EQTLMARANHAO,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,06.272.793/0001-84,#N/D
181,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,04.895.728/0001-80,"EQPA3, EQPA5, EQPA6, EQPA7"
182,ETERNIT,ETERNIT S.A.,61.092.037/0001-81,ETER3
183,EUCATEX,EUCATEX S.A. INDUSTRIA E COMERCIO,56.643.018/0001-66,"EUCA4, EUCA3"
184,EVEN,EVEN CONSTRUTORA E INCORPORADORA S.A.,43.470.988/0001-65,EVEN3
185,EXCELSIOR,EXCELSIOR ALIMENTOS S.A.,95.426.862/0001-97,"BAUH3, BAUH4"
186,EZTEC,EZ TEC EMPREEND. E PARTICIPACOES S.A.,08.312.229/0001-73,EZTC3
187,FGENERGIA,FERREIRA GOMES ENERGIA S.A.,12.489.315/0001-23,#N/D
188,FER C ATLANT,FERROVIA CENTRO-ATLANTICA S.A.,00.924.429/0001-75,"VSPT3, VSPT4"
189,FER HERINGER,FERTILIZANTES HERINGER S.A.,22.266.175/0001-88,FHER3
190,ALFA FINANC,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,17.167.412/0001-13,"CRIV3, CRIV4"
191,FINANSINOS,FINANSINOS S.A.- CREDITO FINANC E INVEST,91.669.747/0001-92,FNCN3
192,FLEURY,FLEURY S.A.,60.840.055/0001-31,FLRY3
193,FLEX S/A,FLEX GESTÃO DE RELACIONAMENTOS S.A.,10.851.805/0001-00,FLEX3
194,FRAS-LE,FRAS-LE S.A.,88.610.126/0001-29,FRAS3
195,GAFISA,GAFISA S.A.,01.545.826/0001-07,GFSA3
196,GAIA AGRO,GAIA AGRO SECURITIZADORA S.A.,14.876.090/0001-93,GAFL-CRA02B0
197,GAIA SECURIT,GAIA SECURITIZADORA S.A.,07.587.384/0001-30,#N/D
198,GAMA PART,GAMA PARTICIPACOES S.A.,02.796.775/0001-40,OPGM3B
199,GENERALSHOPP,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,08.764.621/0001-53,GSHP3
200,GERDAU,GERDAU S.A.,33.611.500/0001-19,"GGBR3, GGBR4"
201,GOL,GOL LINHAS AEREAS INTELIGENTES S.A.,06.164.253/0001-87,"GOLL11, GOLL4"
202,GP INVEST,GP INVESTMENTS. LTD.,07.857.850/0001-50,GPIV33
203,GPC PART,GPC PARTICIPACOES S.A.,02.193.750/0001-52,"GPCP3, GPCP4"
204,GRAZZIOTIN,GRAZZIOTIN S.A.,92.012.467/0001-70,"CGRA4, CGRA3"
205,GRENDENE,GRENDENE S.A.,89.850.341/0001-60,GRND3
