,Nome de Pregão,Razão Social,CNPJ,Código
206,CENTAURO,GRUPO SBF SA,13.217.485/0001-11,CNTO3
207,GUARARAPES,GUARARAPES CONFECCOES S.A.,08.402.943/0001-52,GUAR3
208,HAGA S/A,HAGA S.A. INDUSTRIA E COMERCIO,30.540.991/0001-66,"HAGA3, HAGA4"
209,HAPVIDA,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,05.197.443/0001-38,HAPV3
210,HELBOR,HELBOR EMPREENDIMENTOS S.A.,49.263.189/0001-02,HBOR3
211,HERCULES,HERCULES S.A. FABRICA DE TALHERES,92.749.225/0001-63,"HETA3, HETA4"
212,HOTEIS OTHON,HOTEIS OTHON S.A.,33.200.049/0001-47,HOOT4
213,HYPERA,HYPERA S.A.,02.932.074/0001-91,HYPE3
214,IDEIASNET,IDEIASNET S.A.,02.365.069/0001-44,IDNT3
215,IGB S/A,IGB ELETRÔNICA S/A,43.185.362/0001-07,IGBR3
216,IGUA SA,IGUA SANEAMENTO S.A.,08.159.965/0001-33,IGSN3
217,IGUATEMI,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,51.218.147/0001-93,IGTA3
218,J B DUARTE,INDUSTRIAS J B DUARTE S.A.,60.637.238/0001-54,"JBDU3, JBDU4"
219,INDS ROMI,INDUSTRIAS ROMI S.A.,56.720.428/0001-63,ROMI3
220,INEPAR,INEPAR S.A. INDUSTRIA E CONSTRUCOES,76.627.504/0001-06,"INEP4, INEP3"
221,SELECTPART,INNCORP S.A.,02.604.860/0001-60,SLCT3B
222,IHPARDINI,INSTITUTO HERMES PARDINI S.A.,19.378.769/0001-76,PARD3
223,INTER SA,INTER CONSTRUTORA E INCORPORADORA S.A.,09.611.768/0001-76,INNT3
224,IMC S/A,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17.314.329/0001-20,MEAL3
225,INVEST BEMGE,INVESTIMENTOS BEMGE S.A.,01.548.981/0001-79,"FIGE3, FIGE4"
226,INVEPAR,INVESTIMENTOS E PARTICIP. EM INFRA S.A. – INVEPAR,03.758.318/0001-24,"IVPR4B, IVPR3B"
227,IOCHP-MAXION,IOCHPE MAXION S.A.,61.156.113/0001-75,MYPK3
228,IRANI,IRANI PAPEL E EMBALAGEM S.A.,92.791.243/0001-03,"RANI3, RANI4"
229,IRBBRASIL RE,IRB – BRASIL RESSEGUROS S.A.,33.376.989/0001-91,IRBR3
230,ITAPEBI,ITAPEBI GERACAO DE ENERGIA S.A.,02.397.080/0001-96,#N/D
231,ITAUUNIBANCO,ITAU UNIBANCO HOLDING S.A.,60.872.504/0001-23,"ITUB3, ITUB4"
232,ITAUSA,ITAUSA INVESTIMENTOS ITAU S.A.,61.532.644/0001-15,"ITSA3, ITSA4"
233,J.MACEDO,J. MACEDO S.A.,14.998.371/0001-19,#N/D
234,JBS,JBS S.A.,02.916.265/0001-60,JBSS3
235,JEREISSATI,JEREISSATI PARTICIPACOES S.A.,60.543.816/0001-93,JPSA3
236,JHSF PART,JHSF PARTICIPACOES S.A.,08.294.224/0001-65,JHSF3
237,JOAO FORTES,JOAO FORTES ENGENHARIA S.A.,33.035.536/0001-00,JFEN3
238,JOSAPAR,JOSAPAR-JOAQUIM OLIVEIRA S.A. – PARTICIP,87.456.562/0001-22,"JOPA3, JOPA4"
239,JSL,JSL S.A.,52.548.435/0001-79,JSLG3
240,KARSTEN,KARSTEN S.A.,82.640.558/0001-04,"CTKA4, CTKA3"
241,KEPLER WEBER,KEPLER WEBER S.A.,91.983.056/0001-69,KEPL3
242,KLABIN S/A,KLABIN S.A.,89.637.490/0001-45,"KLBN11, KLBN3, KLBN4"
243,LIFEMED,LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,02.357.251/0001-53,LMED3
244,LIGHT S/A,LIGHT S.A.,03.378.521/0001-75,LIGT3
245,LIGHT,LIGHT SERVICOS DE ELETRICIDADE S.A.,60.444.437/0001-46,#N/D
246,LINX,LINX S.A.,06.948.969/0001-75,LINX3
247,LITEL,LITEL PARTICIPACOES S.A.,00.743.065/0001-27,LTEL3B
248,LITELA,LITELA PARTICIPAÇÕES S.A.,05.495.546/0001-84,LTLA3B
249,LOCALIZA,LOCALIZA RENT A CAR S.A.,16.670.085/0001-55,RENT3
250,LOCAWEB,LOCAWEB SERVIÇOS DE INTERNET S.A.,02.351.877/0001-52,LWSA3
251,LOG COM PROP,LOG COMMERCIAL PROPERTIES,09.041.168/0001-10,LOGG3
252,LOG-IN,LOG-IN LOGISTICA INTERMODAL S.A.,42.278.291/0001-24,LOGN3
253,LOJAS AMERIC,LOJAS AMERICANAS S.A.,33.014.556/0001-96,"LAME3, LAME4"
254,LOJAS RENNER,LOJAS RENNER S.A.,92.754.738/0001-62,LREN3
255,LONGDIS,LONGDIS S.A.,02.338.534/0001-58,#N/D
256,LOPES BRASIL,LPS BRASIL – CONSULTORIA DE IMOVEIS S.A.,08.078.847/0001-09,LPSB3
257,LUPATECH,LUPATECH S.A.,89.463.822/0001-12,LUPA3
258,M.DIASBRANCO,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,07.206.816/0001-15,MDIA3
259,MAESTROLOC,MAESTRO LOCADORA DE VEICULOS S.A.,08.795.211/0001-70,MSRO3
260,MAGAZ LUIZA,MAGAZINE LUIZA S.A.,47.960.950/0001-21,MGLU3
261,METAL LEVE,MAHLE-METAL LEVE S.A.,60.476.884/0001-87,LEVE3
262,MANGELS INDL,MANGELS INDUSTRIAL S.A.,61.065.298/0001-02,"MGEL3, MGEL4"
263,ESTRELA,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,61.082.004/0001-50,"ESTR4, ESTR3"
264,MARCOPOLO,MARCOPOLO S.A.,88.611.835/0001-29,"POMO4, POMO3"
265,MARFRIG,MARFRIG GLOBAL FOODS S.A.,03.853.896/0001-40,MRFG3
266,LOJAS MARISA,MARISA LOJAS S.A.,61.189.288/0001-89,AMAR3
267,MERC FINANC,MERCANTIL BRASIL FINANC S.A. C.F.I.,33.040.601/0001-87,"MERC3, MERC4"
268,METALFRIO,METALFRIO SOLUTIONS S.A.,04.821.041/0001-08,FRIO3
269,METAL IGUACU,METALGRAFICA IGUACU S.A.,80.227.184/0001-66,"MTIG3, MTIG4"
270,GERDAU MET,METALURGICA GERDAU S.A.,92.690.783/0001-09,"GOAU3, GOAU4"
271,RIOSULENSE,METALURGICA RIOSULENSE S.A.,85.778.074/0001-06,"RSUL3, RSUL4"
272,METISA,METISA METALURGICA TIMBOENSE S.A.,86.375.425/0001-09,"MTSA3, MTSA4"
273,MGI PARTICIP,MGI – MINAS GERAIS PARTICIPAÇÕES S.A.,19.296.342/0001-29,#N/D
274,MILLS,MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,27.093.558/0001-15,MILS3
275,MINASMAQUINA,MINASMAQUINAS S.A.,17.161.241/0001-15,"MMAQ3, MMAQ4"
276,MINERVA,MINERVA S.A.,67.620.377/0001-14,"BEEF3, BEEF11"
277,MINUPAR,MINUPAR PARTICIPACOES S.A.,90.076.886/0001-40,MNPR3
278,MITRE REALTY,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,07.882.930/0001-65,MTRE3
279,MMX MINER,MMX MINERACAO E METALICOS S.A.,02.762.115/0001-49,MMXM3
280,MONT ARANHA,MONTEIRO ARANHA S.A.,33.102.476/0001-92,MOAR3
281,MOURA DUBEUX,MOURA DUBEUX ENGENHARIA S/A,12.049.631/0001-84,MDNE3
282,MOVIDA,MOVIDA PARTICIPACOES SA,21.314.559/0001-66,MOVI3
283,MRS LOGIST,MRS LOGISTICA S.A.,01.417.222/0001-77,"MRSA3B, MRSA5B, MRSA6B"
284,MRV,MRV ENGENHARIA E PARTICIPACOES S.A.,08.343.492/0001-20,MRVE3
285,MULTIPLAN,MULTIPLAN – EMPREEND IMOBILIARIOS S.A.,07.816.890/0001-53,MULT3
286,MUNDIAL,MUNDIAL S.A. – PRODUTOS DE CONSUMO,88.610.191/0001-54,MNDL3
287,GRUPO NATURA,NATURA &CO HOLDING S.A.,32.785.497/0001-97,NTCO3
288,NATURA,NATURA COSMETICOS S.A.,71.673.990/0001-77,#N/D
289,NEOENERGIA,NEOENERGIA S.A.,01.083.200/0001-18,NEOE3
290,NORDON MET,NORDON INDUSTRIAS METALURGICAS S.A.,60.884.319/0001-59,NORD3
291,NORTCQUIMICA,NORTEC QUÍMICA S.A.,29.950.060/0001-57,NRTQ3
292,INTERMEDICA,NOTRE DAME INTERMEDICA PARTICIPACOES SA,19.853.511/0001-84,GNDI3
293,NUTRIPLANT,NUTRIPLANT INDUSTRIA E COMERCIO S.A.,51.128.999/0001-90,#N/D
294,OCTANTE SEC,OCTANTE SECURITIZADORA S.A.,12.139.922/0001-63,#N/D
295,ODONTOPREV,ODONTOPREV S.A.,58.119.199/0001-51,ODPV3
296,OI,OI S.A.,76.535.764/0001-43,"OIBR4, OIBR3"
297,OMEGA GER,OMEGA GERAÇÃO S.A.,09.149.503/0001-06,OMGE3
298,OPPORT ENERG,OPPORTUNITY ENERGIA E PARTICIPACOES S.A.,02.318.346/0001-68,OPHE3B
299,OSX BRASIL,OSX BRASIL S.A.,09.112.685/0001-32,OSXB3
300,OURINVESTSEC,OURINVEST SECURITIZADORA SA,12.320.349/0001-90,#N/D
301,OUROFINO S/A,OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,20.258.278/0001-70,OFSA3
302,OURO VERDE,OURO VERDE LOCACAO E SERVICO S.A.,75.609.123/0001-23,#N/D
303,PANATLANTICA,PANATLANTICA S.A.,92.693.019/0001-89,"PATI3, PATI4"
304,PARANA,PARANA BCO S.A.,14.388.334/0001-99,#N/D
305,PARANAPANEMA,PARANAPANEMA S.A.,60.398.369/0004-79,PMAM3
306,PATRIA SEC,PATRIA CIA SECURITIZADORA DE CRED IMOB,02.736.470/0001-43,#N/D
307,PORTOBELLO,PBG S/A,83.475.913/0001-91,PTBL3
308,PDG SECURIT,PDG COMPANHIA SECURITIZADORA,09.538.973/0001-53,#N/D
309,PDG REALT,PDG REALTY S.A. EMPREEND E PARTICIPACOES,02.950.811/0001-89,PDGR3
310,PETRORIO,PETRO RIO S.A.,10.629.105/0001-68,PRIO3
311,PETROBRAS BR,PETROBRAS DISTRIBUIDORA S/A,34.274.233/0001-02,BRDT3
312,PETROBRAS,PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,"PETR4, PETR3"
313,PETTENATI,PETTENATI S.A. INDUSTRIA TEXTIL,88.613.658/0001-10,"PTNT3, PTNT4"
314,PLASCAR PART,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,51.928.174/0001-50,PLAS3
315,POLO CAP SEC,POLO CAPITAL SECURITIZADORA S.A,12.261.588/0001-16,#N/D
316,POLPAR,POLPAR S.A.,59.789.545/0001-71,PPAR3
317,POMIFRUTAS,POMIFRUTAS S/A,86.550.951/0001-50,FRTA3
318,PORTO SEGURO,PORTO SEGURO S.A.,02.149.205/0001-69,PSSA3
319,PORTO VM,PORTO SUDESTE V.M. S.A.,18.494.485/0001-82,PSVM11
320,POSITIVO TEC,POSITIVO TECNOLOGIA S.A.,81.243.735/0001-48,POSI3
321,PPLA,PPLA PARTICIPATIONS LTD.,15.073.274/0001-88,PPLA11
322,PRATICA,PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,08.574.411/0001-00,"PTCA11, PTCA3"
323,PRINER,PRINER SERVIÇOS INDUSTRIAIS S.A.,18.593.815/0001-97,PRNR3
324,PROMAN,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,02.291.077/0001-93,PRMN3B
325,PROFARMA,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,45.453.214/0001-51,PFRM3
326,PROMPT PART,PROMPT PARTICIPACOES S.A.,02.992.449/0001-09,PRPT3B
327,QUALICORP,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,11.992.680/0001-93,QUAL3
328,QUALITY SOFT,QUALITY SOFTWARE S.A.,35.791.391/0001-94,QUSW3
329,RAIADROGASIL,RAIA DROGASIL S.A.,61.585.865/0001-51,RADL3
330,RAIZEN ENERG,RAIZEN ENERGIA S.A.,08.070.508/0001-78,#N/D
331,RANDON PART,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,89.086.144/0001-16,"RAPT4, RAPT3"
332,RBCAPITALRES,RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,02.773.542/0001-22,#N/D
333,WTORRE PIC,REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.,02.643.896/0001-52,#N/D
334,RECRUSUL,RECRUSUL S.A.,91.333.666/0001-17,"RCSL3, RCSL4"
335,REDE ENERGIA,REDE ENERGIA PARTICIPAÇÕES S.A.,61.584.140/0001-49,REDE3
336,PET MANGUINH,REFINARIA DE PETROLEOS MANGUINHOS S.A.,33.412.081/0001-96,RPMG3
337,RENOVA,RENOVA ENERGIA S.A.,08.534.605/0001-74,"RNEW11, RNEW4, RNEW3"
338,LE LIS BLANC,RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,49.669.856/0001-43,LLIS3
339,AES SUL,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,02.016.440/0001-62,#N/D
340,GER PARANAP,RIO PARANAPANEMA ENERGIA S.A.,02.998.301/0001-81,"GEPA3, GEPA4"
341,RNI,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,67.010.660/0001-24,RDNI3
342,ROD COLINAS,RODOVIAS DAS COLINAS S.A.,03.025.305/0001-46,#N/D
343,ROSSI RESID,ROSSI RESIDENCIAL S.A.,61.065.751/0001-80,RSID3
344,ALL NORTE,RUMO MALHA NORTE S.A.,24.962.466/0001-36,"FRRN3B, FRRN5B, FRRN6B"
345,ALL PAULISTA,RUMO MALHA PAULISTA S.A.,02.502.844/0001-66,#N/D
346,RUMO S.A.,RUMO S.A.,02.387.241/0001-60,RAIL3
347,SALUS INFRA,SALUS INFRAESTRUTURA PORTUARIA SA,15.494.541/0001-90,#N/D
348,SANESALTO,SANESALTO SANEAMENTO S.A.,02.724.983/0001-34,#N/D
349,SANSUY,SANSUY S.A. INDUSTRIA DE PLASTICOS,14.807.945/0001-24,"SNSY3, SNSY5, SNSY6"
350,SANTHER,SANTHER FAB DE PAPEL STA THEREZINHA S.A.,61.101.895/0001-45,#N/D
351,STO ANTONIO,SANTO ANTONIO ENERGIA S.A.,09.391.823/0001-60,#N/D
352,SANTOS BRP,SANTOS BRASIL PARTICIPACOES S.A.,02.762.121/0001-04,STBP3
353,SAO CARLOS,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,29.780.061/0001-09,SCAR3
354,SAO MARTINHO,SAO MARTINHO S.A.,51.466.860/0001-56,SMTO3
355,SPTURIS,SAO PAULO TURISMO S.A.,62.002.886/0001-60,"AHEB3, AHEB5, AHEB6"
356,SARAIVA LIVR,SARAIVA LIVREIROS S.A. – EM RECUPERAÇÃO JUDICIAL,60.500.139/0001-26,"SLED4, SLED3"
357,SCHULZ,SCHULZ S.A.,84.693.183/0001-68,"SHUL4, SHUL3"
358,SER EDUCA,SER EDUCACIONAL S.A.,04.986.320/0001-13,SEER3
359,ALIPERTI,SIDERURGICA J. L. ALIPERTI S.A.,61.156.931/0001-78,"APTI3, APTI4"
360,SINQIA,SINQIA S.A.,04.065.791/0001-99,SQIA3
361,SLC AGRICOLA,SLC AGRICOLA S.A.,89.096.457/0001-55,SLCE3
362,SMART FIT,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,07.594.978/0001-78,SMFT3
363,SMILES,SMILES FIDELIDADE S.A.,05.730.375/0001-20,SMLS3
364,SONDOTECNICA,SONDOTECNICA ENGENHARIA SOLOS S.A.,33.386.210/0001-19,"SOND3, SOND5, SOND6"
365,SPRINGER,SPRINGER S.A.,92.929.520/0001-00,"SPRI3, SPRI5, SPRI6"
366,SPRINGS,SPRINGS GLOBAL PARTICIPACOES S.A.,07.718.269/0001-57,SGPS3
367,STARA,STARA S.A. – INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS,91.495.499/0001-00,#N/D
368,STATKRAFT,STATKRAFT ENERGIAS RENOVAVEIS S.A.,00.622.416/0001-41,STKF3
369,SUDESTE S/A,SUDESTE S.A.,02.062.747/0001-08,OPSE3B
370,SUL 116 PART,SUL 116 PARTICIPACOES S.A.,01.957.772/0001-89,OPTS3B
371,SUL AMERICA,SUL AMERICA S.A.,29.978.814/0001-87,"SULA11, SULA3, SULA4"
372,SUZANO HOLD,SUZANO HOLDING S.A.,60.651.809/0001-05,"NEMO3, NEMO5, NEMO6"
373,SUZANO S.A.,SUZANO S.A.,16.404.287/0001-55,SUZB3
374,TIME FOR FUN,T4F ENTRETENIMENTO S.A.,02.860.694/0001-62,SHOW3
375,TAURUS ARMAS,TAURUS ARMAS S.A.,92.781.335/0001-02,"TASA13, TASA15, TASA17, TASA3, TASA4"
376,TCP TERMINAL,TCP TERMINAL DE CONTEINERES DE PARANAGUA SA,12.919.786/0001-24,#N/D
377,TECHNOS,TECHNOS S.A.,09.295.063/0001-97,TECN3
378,TECNISA,TECNISA S.A.,08.065.557/0001-12,TCSA3
379,TECNOSOLO,TECNOSOLO ENGENHARIA S.A.,33.111.246/0001-90,"TCNO3, TCNO4"
380,TEGMA,TEGMA GESTAO LOGISTICA S.A.,02.351.144/0001-18,TGMA3
381,TEKA,TEKA-TECELAGEM KUEHNRICH S.A.,82.636.986/0001-55,"TEKA3, TEKA4"
382,TEKNO,TEKNO S.A. – INDUSTRIA E COMERCIO,33.467.572/0001-34,"TKNO3, TKNO4"
383,TELEBRAS,TELEC BRASILEIRAS S.A. TELEBRAS,00.336.701/0001-04,"TELB4, TELB3"
384,TELEF BRASIL,TELEFÔNICA BRASIL S.A,02.558.157/0001-62,"VIVT3, VIVT4"
385,TERM. PE III,TERMELÉTRICA PERNAMBUCO III S.A.,10.502.676/0001-37,#N/D
386,MENEZES CORT,TERMINAL GARAGEM MENEZES CORTES S.A.,02.664.042/0001-52,MNZC3B
387,TERMOPE,TERMOPERNAMBUCO S.A.,03.795.050/0001-09,#N/D
388,TERRA SANTA,TERRA SANTA AGRO S.A.,05.799.312/0001-20,"TESA12, TESA3"
389,TEX RENAUX,TEXTIL RENAUXVIEW S.A.,82.982.075/0001-80,#N/D
390,TIM PART S/A,TIM PARTICIPACOES S.A.,02.558.115/0001-21,TIMP3
391,TOTVS,TOTVS S.A.,53.113.791/0001-22,TOTS3
392,TRIUNFO PART,TPI – TRIUNFO PARTICIP. E INVEST. S.A.,03.014.553/0001-91,TPIS3
393,TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07.859.971/0001-30,"TAEE11, TAEE3, TAEE4"
394,TREVISA,TREVISA INVESTIMENTOS S.A.,92.660.570/0001-26,"LUXM3, LUXM4"
395,TRIANGULOSOL,TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.,02.509.186/0001-34,#N/D
396,TRISUL,TRISUL S.A.,08.811.643/0001-27,TRIS3
397,CRISTAL,TRONOX PIGMENTOS DO BRASIL S.A.,15.115.504/0001-24,"CRPG3, CRPG5, CRPG6"
398,TRUESEC,TRUE SECURITIZADORA S.A.,12.130.744/0001-00,APCS-CRI05B0
399,TUPY,TUPY S.A.,84.683.374/0001-49,TUPY3
400,ULTRAPAR,ULTRAPAR PARTICIPACOES S.A.,33.256.439/0001-39,UGPA3
401,UNICASA,UNICASA INDÚSTRIA DE MÓVEIS S.A.,90.441.460/0001-48,UCAS3
402,UNIDAS,UNIDAS S.A.,04.437.534/0001-30,#N/D
403,UNIPAR,UNIPAR CARBOCLORO S.A.,33.958.695/0001-78,"UNIP3, UNIP5, UNIP6"
404,UPTICK,UPTICK PARTICIPACOES S.A.,02.162.616/0001-94,UPKP3B
405,USIMINAS,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60.894.730/0001-05,"USIM6, USIM5, USIM3"
406,VALE,VALE S.A.,33.592.510/0001-54,VALE3
407,VALID,VALID SOLUÇÕES S.A.,33.113.309/0001-47,VLID3
408,VERTCIASEC,VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,#N/D
409,VIAVAREJO,VIA VAREJO S.A.,33.041.260/0652-90,VVAR3
410,VIVARA S.A.,VIVARA PARTICIPAÇOES S.A,33.839.910/0001-11,VIVA3
411,VIVER,VIVER INCORPORADORA E CONSTRUTORA S.A.,67.571.414/0001-41,VIVR3
412,VULCABRAS,VULCABRAS/AZALEIA S.A.,50.926.955/0001-42,VULC3
413,WEG,WEG S.A.,84.429.695/0001-11,WEGE3
414,WETZEL S/A,WETZEL S.A.,84.683.671/0001-94,"MWET3, MWET4"
415,WHIRLPOOL,WHIRLPOOL S.A.,59.105.999/0001-86,WHRL3
416,WILSON SONS,WILSON SONS LTD.,05.721.735/0001-28,WSON33
417,WIZ S.A.,WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,42.278.473/0001-03,WIZS3
418,WLM IND COM,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,33.228.024/0001-51,"WLMM3, WLMM4"
419,YDUQS PART,YDUQS PARTICIPACOES S.A.,08.807.432/0001-10,YDUQ3
420,524 PARTICIP,524 PARTICIPACOES S.A.,01.851.771/0001-55,QVQP3B
